Nombre persona,Apellidos,Edad,Universidad,Carrera que estudia,Porcentaje avance de carrera,Trabajo soñado,Banda musical favorita
Christina,Mcconnell,59,Sanchez PLC,Location manager,66,Museum/gallery exhibitions officer,market
Shawna,Johnson,63,"Walker, Cohen and Johnston",Barista,7,Hydrologist,finish
Shawn,Ochoa,30,Jones PLC,"Exhibitions officer, museum/gallery",11,"Surveyor, commercial/residential",far
Martin,Lloyd,35,"Luna, Sharp and Morrow",Industrial/product designer,74,Licensed conveyancer,case
Ashley,Quinn,18,Carter LLC,Marine scientist,37,"Administrator, Civil Service",any
Edward,Miller,59,Bennett-Stewart,"Scientist, biomedical",96,Therapeutic radiographer,up
Cynthia,Barnett,49,Huffman-Smith,Armed forces logistics/support/administrative officer,9,Network engineer,here
Alexis,Roberts,49,Martinez Group,"Pharmacist, community",68,Futures trader,better
Kathleen,Boone,21,Dixon-Richards,"Embryologist, clinical",25,Private music teacher,trial
Rebecca,Olsen,19,Rose Inc,Environmental manager,28,Comptroller,question
Kaitlin,Fisher,20,"Newman, Everett and Kemp",Brewing technologist,77,Psychotherapist,foreign
James,Ellison,48,Jones-Pacheco,Ship broker,20,"Engineer, structural",century
Kimberly,Bradley,40,Lawson and Sons,Statistician,11,Health and safety adviser,compare
Daisy,Nolan,45,"Henderson, Sanders and Marsh",Copy,62,Dance movement psychotherapist,daughter
David,Rowland,24,"Roach, Huffman and Kelly","Engineer, electrical",51,Animator,far
Robert,Simon,48,Chase-Decker,Insurance broker,76,Health physicist,market
Ashley,Trujillo,24,Brown-Webster,Fashion designer,0,"Scientist, research (maths)",foot
Jeffrey,Beard,28,Ballard Inc,Animal technologist,82,Newspaper journalist,cultural
Sherry,Hopkins,28,Mccoy and Sons,Camera operator,40,Best boy,upon
Robert,Green,61,Martin-Garcia,Brewing technologist,96,"Librarian, academic",now
Mark,Price,27,"Turner, Taylor and Mcintyre",Television production assistant,95,Medical secretary,I
James,Blackwell,46,Walter-Luna,Radio producer,43,Ergonomist,mission
Amy,Moore,37,"Miller, James and Wallace",Environmental education officer,46,"Teacher, adult education",television
Phillip,Perez,25,"Myers, Hamilton and Moore",Quantity surveyor,26,"Chemist, analytical",improve
Kathryn,Adams,35,"Hendricks, Carter and Farmer",Set designer,31,"Buyer, industrial",money
Susan,Hill,54,Rivas Ltd,Pensions consultant,87,"Engineer, maintenance (IT)",watch
Matthew,Choi,50,Soto Ltd,"Teacher, English as a foreign language",73,Ecologist,action
Cory,Boyer,46,Nelson and Sons,"Conservator, museum/gallery",56,"Therapist, music",all
Christopher,Robinson,52,Bell-Thomas,Web designer,95,"Surveyor, planning and development",local
Melanie,Gilmore,25,Patrick-Garcia,Emergency planning/management officer,51,Medical illustrator,executive
Joseph,Salazar,55,"Galloway, Smith and Schmitt",Advice worker,40,Health physicist,week
Cynthia,Osborne,61,"Peters, Palmer and Flynn","Engineer, broadcasting (operations)",17,Accounting technician,plant
Derek,Rogers,55,Jones Group,"Psychologist, occupational",2,Aeronautical engineer,still
Anne,Riley,39,Lopez Inc,Health physicist,96,Adult guidance worker,national
Robert,Carter,58,Torres LLC,Animator,58,Chartered loss adjuster,know
Andrew,Hurley,58,Stephens-Johnson,Audiological scientist,87,Tax adviser,today
Richard,Brennan,24,"Johnson, Wright and Harper",Oceanographer,13,Mental health nurse,trip
Vincent,Ryan,36,Owens-Black,Purchasing manager,38,"Engineer, broadcasting (operations)",list
Michelle,Gordon,49,Moore-Rogers,Nutritional therapist,69,"Psychotherapist, dance movement",Mr
Richard,Turner,20,"Garcia, Hebert and Garcia","Clinical scientist, histocompatibility and immunogenetics",37,Medical illustrator,occur
Pamela,Daugherty,59,"Brown, Trujillo and Phillips",Actuary,65,"Accountant, chartered",four
Chelsea,Scott,36,"Bowen, Anderson and Austin",Haematologist,70,Medical laboratory scientific officer,drug
Jennifer,Garcia,50,Martinez-Frye,Herbalist,18,"Conservation officer, historic buildings",Democrat
Laura,Greene,53,"Moore, Moreno and Shelton","Programme researcher, broadcasting/film/video",67,Building services engineer,huge
Matthew,Webb,33,Jones PLC,"Civil engineer, contracting",39,Volunteer coordinator,news
Jonathan,Calderon,19,Terry Group,Company secretary,70,"Scientist, research (medical)",politics
Tracy,Robinson,29,Clark Ltd,"Horticulturist, commercial",33,Facilities manager,mind
Gary,Jackson,58,Green PLC,Site engineer,91,Contractor,section
Ashley,Rodriguez,57,Stevens-Bolton,Biomedical engineer,85,Product designer,all
Richard,Perry,48,"Duncan, Black and Hamilton",Podiatrist,57,Geoscientist,reality
Michelle,Marquez,34,Mcclure-Davis,Tax adviser,26,Community pharmacist,arrive
William,Adams,52,Harris Group,Dance movement psychotherapist,39,Chemical engineer,item
Richard,Clark,18,"Howard, Armstrong and Carpenter",Chief Technology Officer,62,Market researcher,manage
Carrie,Cummings,59,Davis LLC,"Scientist, research (medical)",72,"Designer, television/film set",past
Cody,Parsons,30,Wright PLC,Chiropractor,96,Psychiatrist,try
Amanda,Martinez,55,"Bridges, Reed and Robles",Agricultural engineer,22,"Lecturer, further education",base
